run,type,module,name,attrname,attrvalue,value
General-87-20210826-18:27:03-10604,runattr,,,configname,General,
General-87-20210826-18:27:03-10604,runattr,,,datetime,20210826-18:27:03,
General-87-20210826-18:27:03-10604,runattr,,,experiment,General,
General-87-20210826-18:27:03-10604,runattr,,,inifile,omnetpp.ini,
General-87-20210826-18:27:03-10604,runattr,,,iterationvars,$xValues=1100000,
General-87-20210826-18:27:03-10604,runattr,,,iterationvarsf,xValues=1100000-,
General-87-20210826-18:27:03-10604,runattr,,,measurement,$xValues=1100000,
General-87-20210826-18:27:03-10604,runattr,,,network,traceBasedRadioModel,
General-87-20210826-18:27:03-10604,runattr,,,processid,10604,
General-87-20210826-18:27:03-10604,runattr,,,repetition,7,
General-87-20210826-18:27:03-10604,runattr,,,replication,#7,
General-87-20210826-18:27:03-10604,runattr,,,resultdir,results,
General-87-20210826-18:27:03-10604,runattr,,,runnumber,87,
General-87-20210826-18:27:03-10604,runattr,,,seedset,87,
General-87-20210826-18:27:03-10604,itervar,,,xValues,1100000,
General-87-20210826-18:27:03-10604,param,,,*.numHosts,2,
General-87-20210826-18:27:03-10604,param,,,*.host[*].ipv4.arp.typename,"""GlobalArp""",
General-87-20210826-18:27:03-10604,param,,,*.host[*].numApps,1,
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].typename,"""UdpBasicApp""",
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].destAddresses,"""host[1]""",
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].destPort,5000,
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].messageLength,100B,
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].sendInterval,1s,
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].packetName,"""UDPData""",
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].startTime,0s,
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].stopTime,10000s,
General-87-20210826-18:27:03-10604,param,,,*.host[1].app[0].typename,"""UdpSink""",
General-87-20210826-18:27:03-10604,param,,,*.host[1].app[0].localPort,5000,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].typename,"""WirelessInterface""",
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.typename,"""TraceBasedRadio""",
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].mac.typename,"""AckingMac""",
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].mac.useAck,false,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].mac.fullDuplex,false,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].mac.headerLength,23B,
General-87-20210826-18:27:03-10604,param,,,*.host[*].**.bitrate,10 Mbps,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.transmitter.communicationRange,1922070m,
General-87-20210826-18:27:03-10604,param,,,*.host[0].wlan[0].radio.displayCommunicationRange,true,
General-87-20210826-18:27:03-10604,param,,,*.*host[*].mobility.typename,"""StationaryMobility""",
General-87-20210826-18:27:03-10604,param,,,*.host[*].mobility.initFromDisplayString,false,
General-87-20210826-18:27:03-10604,param,,,*.host[0].mobility.initialX,1100000m,
General-87-20210826-18:27:03-10604,param,,,*.host[0].mobility.initialY,0m,
General-87-20210826-18:27:03-10604,param,,,*.host[0].mobility.initialZ,30000m,
General-87-20210826-18:27:03-10604,param,,,*.host[1].mobility.initialX,0m,
General-87-20210826-18:27:03-10604,param,,,*.host[1].mobility.initialY,0m,
General-87-20210826-18:27:03-10604,param,,,*.host[1].mobility.initialZ,30000m,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,true,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.transmitter.interferenceRange,1932000m,
General-87-20210826-18:27:03-10604,param,,,*.host[0].wlan[0].radio.displayInterferenceRange,true,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Tx_power,44,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Tx_antenna_gain,2,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Rx_antenna_gain,2,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Tx_loss,4,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Rx_loss,4,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Noise_figure,6,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Thermal_noise_density,-174,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.frequency,960,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.SNR_margin,0,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
General-81-20210826-18:27:00-1108,runattr,,,configname,General,
General-81-20210826-18:27:00-1108,runattr,,,datetime,20210826-18:27:00,
General-81-20210826-18:27:00-1108,runattr,,,experiment,General,
General-81-20210826-18:27:00-1108,runattr,,,inifile,omnetpp.ini,
General-81-20210826-18:27:00-1108,runattr,,,iterationvars,$xValues=1100000,
General-81-20210826-18:27:00-1108,runattr,,,iterationvarsf,xValues=1100000-,
General-81-20210826-18:27:00-1108,runattr,,,measurement,$xValues=1100000,
General-81-20210826-18:27:00-1108,runattr,,,network,traceBasedRadioModel,
General-81-20210826-18:27:00-1108,runattr,,,processid,1108,
General-81-20210826-18:27:00-1108,runattr,,,repetition,1,
General-81-20210826-18:27:00-1108,runattr,,,replication,#1,
General-81-20210826-18:27:00-1108,runattr,,,resultdir,results,
General-81-20210826-18:27:00-1108,runattr,,,runnumber,81,
General-81-20210826-18:27:00-1108,runattr,,,seedset,81,
General-81-20210826-18:27:00-1108,itervar,,,xValues,1100000,
General-81-20210826-18:27:00-1108,param,,,*.numHosts,2,
General-81-20210826-18:27:00-1108,param,,,*.host[*].ipv4.arp.typename,"""GlobalArp""",
General-81-20210826-18:27:00-1108,param,,,*.host[*].numApps,1,
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].typename,"""UdpBasicApp""",
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].destAddresses,"""host[1]""",
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].destPort,5000,
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].messageLength,100B,
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].sendInterval,1s,
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].packetName,"""UDPData""",
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].startTime,0s,
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].stopTime,10000s,
General-81-20210826-18:27:00-1108,param,,,*.host[1].app[0].typename,"""UdpSink""",
General-81-20210826-18:27:00-1108,param,,,*.host[1].app[0].localPort,5000,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].typename,"""WirelessInterface""",
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.typename,"""TraceBasedRadio""",
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].mac.typename,"""AckingMac""",
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].mac.useAck,false,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].mac.fullDuplex,false,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].mac.headerLength,23B,
General-81-20210826-18:27:00-1108,param,,,*.host[*].**.bitrate,10 Mbps,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.transmitter.communicationRange,1922070m,
General-81-20210826-18:27:00-1108,param,,,*.host[0].wlan[0].radio.displayCommunicationRange,true,
General-81-20210826-18:27:00-1108,param,,,*.*host[*].mobility.typename,"""StationaryMobility""",
General-81-20210826-18:27:00-1108,param,,,*.host[*].mobility.initFromDisplayString,false,
General-81-20210826-18:27:00-1108,param,,,*.host[0].mobility.initialX,1100000m,
General-81-20210826-18:27:00-1108,param,,,*.host[0].mobility.initialY,0m,
General-81-20210826-18:27:00-1108,param,,,*.host[0].mobility.initialZ,30000m,
General-81-20210826-18:27:00-1108,param,,,*.host[1].mobility.initialX,0m,
General-81-20210826-18:27:00-1108,param,,,*.host[1].mobility.initialY,0m,
General-81-20210826-18:27:00-1108,param,,,*.host[1].mobility.initialZ,30000m,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,true,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.transmitter.interferenceRange,1932000m,
General-81-20210826-18:27:00-1108,param,,,*.host[0].wlan[0].radio.displayInterferenceRange,true,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.Tx_power,44,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.Tx_antenna_gain,2,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.Rx_antenna_gain,2,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.Tx_loss,4,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.Rx_loss,4,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.Noise_figure,6,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.Thermal_noise_density,-174,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.frequency,960,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.SNR_margin,0,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
General-86-20210826-18:27:03-7700,runattr,,,configname,General,
General-86-20210826-18:27:03-7700,runattr,,,datetime,20210826-18:27:03,
General-86-20210826-18:27:03-7700,runattr,,,experiment,General,
General-86-20210826-18:27:03-7700,runattr,,,inifile,omnetpp.ini,
General-86-20210826-18:27:03-7700,runattr,,,iterationvars,$xValues=1100000,
General-86-20210826-18:27:03-7700,runattr,,,iterationvarsf,xValues=1100000-,
General-86-20210826-18:27:03-7700,runattr,,,measurement,$xValues=1100000,
General-86-20210826-18:27:03-7700,runattr,,,network,traceBasedRadioModel,
General-86-20210826-18:27:03-7700,runattr,,,processid,7700,
General-86-20210826-18:27:03-7700,runattr,,,repetition,6,
General-86-20210826-18:27:03-7700,runattr,,,replication,#6,
General-86-20210826-18:27:03-7700,runattr,,,resultdir,results,
General-86-20210826-18:27:03-7700,runattr,,,runnumber,86,
General-86-20210826-18:27:03-7700,runattr,,,seedset,86,
General-86-20210826-18:27:03-7700,itervar,,,xValues,1100000,
General-86-20210826-18:27:03-7700,param,,,*.numHosts,2,
General-86-20210826-18:27:03-7700,param,,,*.host[*].ipv4.arp.typename,"""GlobalArp""",
General-86-20210826-18:27:03-7700,param,,,*.host[*].numApps,1,
General-86-20210826-18:27:03-7700,param,,,*.host[0].app[0].typename,"""UdpBasicApp""",
General-86-20210826-18:27:03-7700,param,,,*.host[0].app[0].destAddresses,"""host[1]""",
General-86-20210826-18:27:03-7700,param,,,*.host[0].app[0].destPort,5000,
General-86-20210826-18:27:03-7700,param,,,*.host[0].app[0].messageLength,100B,
General-86-20210826-18:27:03-7700,param,,,*.host[0].app[0].sendInterval,1s,
General-86-20210826-18:27:03-7700,param,,,*.host[0].app[0].packetName,"""UDPData""",
General-86-20210826-18:27:03-7700,param,,,*.host[0].app[0].startTime,0s,
General-86-20210826-18:27:03-7700,param,,,*.host[0].app[0].stopTime,10000s,
General-86-20210826-18:27:03-7700,param,,,*.host[1].app[0].typename,"""UdpSink""",
General-86-20210826-18:27:03-7700,param,,,*.host[1].app[0].localPort,5000,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].typename,"""WirelessInterface""",
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.typename,"""TraceBasedRadio""",
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].mac.typename,"""AckingMac""",
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].mac.useAck,false,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].mac.fullDuplex,false,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].mac.headerLength,23B,
General-86-20210826-18:27:03-7700,param,,,*.host[*].**.bitrate,10 Mbps,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.transmitter.communicationRange,1922070m,
General-86-20210826-18:27:03-7700,param,,,*.host[0].wlan[0].radio.displayCommunicationRange,true,
General-86-20210826-18:27:03-7700,param,,,*.*host[*].mobility.typename,"""StationaryMobility""",
General-86-20210826-18:27:03-7700,param,,,*.host[*].mobility.initFromDisplayString,false,
General-86-20210826-18:27:03-7700,param,,,*.host[0].mobility.initialX,1100000m,
General-86-20210826-18:27:03-7700,param,,,*.host[0].mobility.initialY,0m,
General-86-20210826-18:27:03-7700,param,,,*.host[0].mobility.initialZ,30000m,
General-86-20210826-18:27:03-7700,param,,,*.host[1].mobility.initialX,0m,
General-86-20210826-18:27:03-7700,param,,,*.host[1].mobility.initialY,0m,
General-86-20210826-18:27:03-7700,param,,,*.host[1].mobility.initialZ,30000m,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,true,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.transmitter.interferenceRange,1932000m,
General-86-20210826-18:27:03-7700,param,,,*.host[0].wlan[0].radio.displayInterferenceRange,true,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.Tx_power,44,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.Tx_antenna_gain,2,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.Rx_antenna_gain,2,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.Tx_loss,4,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.Rx_loss,4,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.Noise_figure,6,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.Thermal_noise_density,-174,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.frequency,960,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.SNR_margin,0,
General-86-20210826-18:27:03-7700,param,,,*.host[*].wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
General-80-20210826-18:27:00-11272,runattr,,,configname,General,
General-80-20210826-18:27:00-11272,runattr,,,datetime,20210826-18:27:00,
General-80-20210826-18:27:00-11272,runattr,,,experiment,General,
General-80-20210826-18:27:00-11272,runattr,,,inifile,omnetpp.ini,
General-80-20210826-18:27:00-11272,runattr,,,iterationvars,$xValues=1100000,
General-80-20210826-18:27:00-11272,runattr,,,iterationvarsf,xValues=1100000-,
General-80-20210826-18:27:00-11272,runattr,,,measurement,$xValues=1100000,
General-80-20210826-18:27:00-11272,runattr,,,network,traceBasedRadioModel,
General-80-20210826-18:27:00-11272,runattr,,,processid,11272,
General-80-20210826-18:27:00-11272,runattr,,,repetition,0,
General-80-20210826-18:27:00-11272,runattr,,,replication,#0,
General-80-20210826-18:27:00-11272,runattr,,,resultdir,results,
General-80-20210826-18:27:00-11272,runattr,,,runnumber,80,
General-80-20210826-18:27:00-11272,runattr,,,seedset,80,
General-80-20210826-18:27:00-11272,itervar,,,xValues,1100000,
General-80-20210826-18:27:00-11272,param,,,*.numHosts,2,
General-80-20210826-18:27:00-11272,param,,,*.host[*].ipv4.arp.typename,"""GlobalArp""",
General-80-20210826-18:27:00-11272,param,,,*.host[*].numApps,1,
General-80-20210826-18:27:00-11272,param,,,*.host[0].app[0].typename,"""UdpBasicApp""",
General-80-20210826-18:27:00-11272,param,,,*.host[0].app[0].destAddresses,"""host[1]""",
General-80-20210826-18:27:00-11272,param,,,*.host[0].app[0].destPort,5000,
General-80-20210826-18:27:00-11272,param,,,*.host[0].app[0].messageLength,100B,
General-80-20210826-18:27:00-11272,param,,,*.host[0].app[0].sendInterval,1s,
General-80-20210826-18:27:00-11272,param,,,*.host[0].app[0].packetName,"""UDPData""",
General-80-20210826-18:27:00-11272,param,,,*.host[0].app[0].startTime,0s,
General-80-20210826-18:27:00-11272,param,,,*.host[0].app[0].stopTime,10000s,
General-80-20210826-18:27:00-11272,param,,,*.host[1].app[0].typename,"""UdpSink""",
General-80-20210826-18:27:00-11272,param,,,*.host[1].app[0].localPort,5000,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].typename,"""WirelessInterface""",
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.typename,"""TraceBasedRadio""",
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].mac.typename,"""AckingMac""",
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].mac.useAck,false,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].mac.fullDuplex,false,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].mac.headerLength,23B,
General-80-20210826-18:27:00-11272,param,,,*.host[*].**.bitrate,10 Mbps,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.transmitter.communicationRange,1922070m,
General-80-20210826-18:27:00-11272,param,,,*.host[0].wlan[0].radio.displayCommunicationRange,true,
General-80-20210826-18:27:00-11272,param,,,*.*host[*].mobility.typename,"""StationaryMobility""",
General-80-20210826-18:27:00-11272,param,,,*.host[*].mobility.initFromDisplayString,false,
General-80-20210826-18:27:00-11272,param,,,*.host[0].mobility.initialX,1100000m,
General-80-20210826-18:27:00-11272,param,,,*.host[0].mobility.initialY,0m,
General-80-20210826-18:27:00-11272,param,,,*.host[0].mobility.initialZ,30000m,
General-80-20210826-18:27:00-11272,param,,,*.host[1].mobility.initialX,0m,
General-80-20210826-18:27:00-11272,param,,,*.host[1].mobility.initialY,0m,
General-80-20210826-18:27:00-11272,param,,,*.host[1].mobility.initialZ,30000m,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,true,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.transmitter.interferenceRange,1932000m,
General-80-20210826-18:27:00-11272,param,,,*.host[0].wlan[0].radio.displayInterferenceRange,true,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.Tx_power,44,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.Tx_antenna_gain,2,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.Rx_antenna_gain,2,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.Tx_loss,4,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.Rx_loss,4,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.Noise_figure,6,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.Thermal_noise_density,-174,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.frequency,960,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.SNR_margin,0,
General-80-20210826-18:27:00-11272,param,,,*.host[*].wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
General-89-20210826-18:27:06-11316,runattr,,,configname,General,
General-89-20210826-18:27:06-11316,runattr,,,datetime,20210826-18:27:06,
General-89-20210826-18:27:06-11316,runattr,,,experiment,General,
General-89-20210826-18:27:06-11316,runattr,,,inifile,omnetpp.ini,
General-89-20210826-18:27:06-11316,runattr,,,iterationvars,$xValues=1100000,
General-89-20210826-18:27:06-11316,runattr,,,iterationvarsf,xValues=1100000-,
General-89-20210826-18:27:06-11316,runattr,,,measurement,$xValues=1100000,
General-89-20210826-18:27:06-11316,runattr,,,network,traceBasedRadioModel,
General-89-20210826-18:27:06-11316,runattr,,,processid,11316,
General-89-20210826-18:27:06-11316,runattr,,,repetition,9,
General-89-20210826-18:27:06-11316,runattr,,,replication,#9,
General-89-20210826-18:27:06-11316,runattr,,,resultdir,results,
General-89-20210826-18:27:06-11316,runattr,,,runnumber,89,
General-89-20210826-18:27:06-11316,runattr,,,seedset,89,
General-89-20210826-18:27:06-11316,itervar,,,xValues,1100000,
General-89-20210826-18:27:06-11316,param,,,*.numHosts,2,
General-89-20210826-18:27:06-11316,param,,,*.host[*].ipv4.arp.typename,"""GlobalArp""",
General-89-20210826-18:27:06-11316,param,,,*.host[*].numApps,1,
General-89-20210826-18:27:06-11316,param,,,*.host[0].app[0].typename,"""UdpBasicApp""",
General-89-20210826-18:27:06-11316,param,,,*.host[0].app[0].destAddresses,"""host[1]""",
General-89-20210826-18:27:06-11316,param,,,*.host[0].app[0].destPort,5000,
General-89-20210826-18:27:06-11316,param,,,*.host[0].app[0].messageLength,100B,
General-89-20210826-18:27:06-11316,param,,,*.host[0].app[0].sendInterval,1s,
General-89-20210826-18:27:06-11316,param,,,*.host[0].app[0].packetName,"""UDPData""",
General-89-20210826-18:27:06-11316,param,,,*.host[0].app[0].startTime,0s,
General-89-20210826-18:27:06-11316,param,,,*.host[0].app[0].stopTime,10000s,
General-89-20210826-18:27:06-11316,param,,,*.host[1].app[0].typename,"""UdpSink""",
General-89-20210826-18:27:06-11316,param,,,*.host[1].app[0].localPort,5000,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].typename,"""WirelessInterface""",
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.typename,"""TraceBasedRadio""",
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].mac.typename,"""AckingMac""",
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].mac.useAck,false,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].mac.fullDuplex,false,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].mac.headerLength,23B,
General-89-20210826-18:27:06-11316,param,,,*.host[*].**.bitrate,10 Mbps,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.transmitter.communicationRange,1922070m,
General-89-20210826-18:27:06-11316,param,,,*.host[0].wlan[0].radio.displayCommunicationRange,true,
General-89-20210826-18:27:06-11316,param,,,*.*host[*].mobility.typename,"""StationaryMobility""",
General-89-20210826-18:27:06-11316,param,,,*.host[*].mobility.initFromDisplayString,false,
General-89-20210826-18:27:06-11316,param,,,*.host[0].mobility.initialX,1100000m,
General-89-20210826-18:27:06-11316,param,,,*.host[0].mobility.initialY,0m,
General-89-20210826-18:27:06-11316,param,,,*.host[0].mobility.initialZ,30000m,
General-89-20210826-18:27:06-11316,param,,,*.host[1].mobility.initialX,0m,
General-89-20210826-18:27:06-11316,param,,,*.host[1].mobility.initialY,0m,
General-89-20210826-18:27:06-11316,param,,,*.host[1].mobility.initialZ,30000m,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,true,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.transmitter.interferenceRange,1932000m,
General-89-20210826-18:27:06-11316,param,,,*.host[0].wlan[0].radio.displayInterferenceRange,true,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.Tx_power,44,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.Tx_antenna_gain,2,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.Rx_antenna_gain,2,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.Tx_loss,4,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.Rx_loss,4,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.Noise_figure,6,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.Thermal_noise_density,-174,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.frequency,960,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.SNR_margin,0,
General-89-20210826-18:27:06-11316,param,,,*.host[*].wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
General-90-20210826-18:27:06-8296,runattr,,,configname,General,
General-90-20210826-18:27:06-8296,runattr,,,datetime,20210826-18:27:06,
General-90-20210826-18:27:06-8296,runattr,,,experiment,General,
General-90-20210826-18:27:06-8296,runattr,,,inifile,omnetpp.ini,
General-90-20210826-18:27:06-8296,runattr,,,iterationvars,$xValues=1400000,
General-90-20210826-18:27:06-8296,runattr,,,iterationvarsf,xValues=1400000-,
General-90-20210826-18:27:06-8296,runattr,,,measurement,$xValues=1400000,
General-90-20210826-18:27:06-8296,runattr,,,network,traceBasedRadioModel,
General-90-20210826-18:27:06-8296,runattr,,,processid,8296,
General-90-20210826-18:27:06-8296,runattr,,,repetition,0,
General-90-20210826-18:27:06-8296,runattr,,,replication,#0,
General-90-20210826-18:27:06-8296,runattr,,,resultdir,results,
General-90-20210826-18:27:06-8296,runattr,,,runnumber,90,
General-90-20210826-18:27:06-8296,runattr,,,seedset,90,
General-90-20210826-18:27:06-8296,itervar,,,xValues,1400000,
General-90-20210826-18:27:06-8296,param,,,*.numHosts,2,
General-90-20210826-18:27:06-8296,param,,,*.host[*].ipv4.arp.typename,"""GlobalArp""",
General-90-20210826-18:27:06-8296,param,,,*.host[*].numApps,1,
General-90-20210826-18:27:06-8296,param,,,*.host[0].app[0].typename,"""UdpBasicApp""",
General-90-20210826-18:27:06-8296,param,,,*.host[0].app[0].destAddresses,"""host[1]""",
General-90-20210826-18:27:06-8296,param,,,*.host[0].app[0].destPort,5000,
General-90-20210826-18:27:06-8296,param,,,*.host[0].app[0].messageLength,100B,
General-90-20210826-18:27:06-8296,param,,,*.host[0].app[0].sendInterval,1s,
General-90-20210826-18:27:06-8296,param,,,*.host[0].app[0].packetName,"""UDPData""",
General-90-20210826-18:27:06-8296,param,,,*.host[0].app[0].startTime,0s,
General-90-20210826-18:27:06-8296,param,,,*.host[0].app[0].stopTime,10000s,
General-90-20210826-18:27:06-8296,param,,,*.host[1].app[0].typename,"""UdpSink""",
General-90-20210826-18:27:06-8296,param,,,*.host[1].app[0].localPort,5000,
General-90-20210826-18:27:06-8296,param,,,*.host[*].wlan[0].typename,"""WirelessInterface""",
General-90-20210826-18:27:06-8296,param,,,*.host[*].wlan[0].radio.typename,"""TraceBasedRadio""",
General-90-20210826-18:27:06-8296,param,,,*.host[*].wlan[0].mac.typename,"""AckingMac""",
General-90-20210826-18:27:06-8296,param,,,*.host[*].wlan[0].mac.useAck,false,
General-90-20210826-18:27:06-8296,param,,,*.host[*].wlan[0].mac.fullDuplex,false,
General-90-20210826-18:27:06-8296,param,,,*.host[*].wlan[0].mac.headerLength,23B,
